DUT=1, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=2, InputPower=0.0, OutputPower=0, Efficiency=0
DUT=1, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=328.762368, OutputPower=0.0, Efficiency=0.0
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=1918.2517200000002, OutputPower=1834.3542, Efficiency=95.62635502289552
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2097.904347, OutputPower=2003.096, Efficiency=95.4808069712246
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2141.789958, OutputPower=2023.2330000000002, Efficiency=94.46458521494293
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2123.4411, OutputPower=2020.5803, Efficiency=95.15593816094075
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2137.4050500000003, OutputPower=2030.9489999999998, Efficiency=95.01937875556155
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2124.814725, OutputPower=2013.2640000000001, Efficiency=94.75009638781565
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2135.65572, OutputPower=2017.1076000000003, Efficiency=94.44909968915776
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2135.740068, OutputPower=2029.1145000000001, Efficiency=95.00755875691142
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2137.39911, OutputPower=2083.0208000000002, Efficiency=97.45586541392358
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2128.028562, OutputPower=2080.9866, Efficiency=97.78941115546927
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2132.703936, OutputPower=2063.8988, Efficiency=96.77380742640501
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2125.1343960000004, OutputPower=2045.3881000000001, Efficiency=96.2474704588048
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2119.220433, OutputPower=2042.3368000000003, Efficiency=96.37207947777466
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2132.520588, OutputPower=2019.5634, Efficiency=94.7031138346037
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2125.42902, OutputPower=2028.915, Efficiency=95.45908053894927
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2123.673948, OutputPower=2016.9093000000003, Efficiency=94.97264407747022
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2123.875611, OutputPower=2025.2452, Efficiency=95.35611170027227
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2122.504956, OutputPower=2033.5827000000004, Efficiency=95.81050419935981
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2113.3976489999995, OutputPower=2025.0461000000003, Efficiency=95.81945456209792
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2120.753052, OutputPower=2017.1076000000003, Efficiency=95.1127995830417
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2118.08817, OutputPower=2028.915, Efficiency=95.78992171983096
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
